"","PD","SR"
"fr2000",232.20016222047,66
"fo2000",193.76891484357,62
"na2000",202.06155082037,66
"fr2001",197.5584761497,56
"fo2001",172.1906537713,56
"na2001",182.2786896673,52
"fr2002",162.24758304925,40
"fo2002",162.98132324255,46
"na2002",187.11605396815,49
"fr2003",227.77667083431,75
"fo2003",244.78105388574,85
"na2003",281.06274822637,108
