"","PD","SR"
"fr2000",206.65238032449,66
"fo2000",189.56352929035,62
"na2000",196.83380019637,66
"fr2001",183.55661035367,56
"fo2001",168.58768169727,56
"na2001",174.84563601637,52
"fr2002",152.56430617657,40
"fo2002",149.09809154101,46
"na2002",171.96710201248,49
"fr2003",213.69268039264,75
"fo2003",238.13842743908,85
"na2003",262.15363748797,108
