"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr",124,18.6991815005954,18.8169448887511,0.262750192185703,308,-0.448195250310032,0.308,999
"fo",132,18.2975745723007,18.7741026800746,0.247373731571377,41,-1.92634886795317,0.041,999
"na",145,19.1039681165496,18.8471990069244,0.213011179986092,892,1.20542550697068,0.892,999
