	Aca_Eriop_Aceria_parapopu	Aca_Eryth_1_1	Ara_Salti_Metacyrb_1	Ara_Salti_Talavera_1	Ara_Salti_1_7	Ara_Salti_1_8	Ara_Salti_1_9	Ara_Thomi_Misumeno_2	Ara_Thomi_1_1	Ara_Thomi_1_2	Col_Anthi_1_1	Col_Bupre_1_1	Col_Cicin_1_1	Col_Cocci_Adalia_bipuncta	Col_Cocci_Coccinel_septum	Col_Cocci_Cryptola_1	Col_Cocci_Harmonia_axyridis	Col_Cocci_Hippodam_converge	Col_Cocci_1_1	Col_Curcu_1_1	Col_Lampy_1_1	Col_Melyr_1_1	Col_Silph_1_1	Der_Forfi_1_1	Dip_Agrom_Hexomyza_schineri	Dip_Cerat_1_1	Dip_Chiro_1_1	Dip_Empid_1_1	Dip_Musci_1_1	Dip_Ottit_1_1	Dip_Phori_1_1	Dip_Syrph_1_4	Hem_Antho_Anthocor_antevole	Hem_Aphid_Chaitoph_popullel	Hem_Aphid_Pemphigu_populica	Hem_Aphid_Pemphigu_populigl	Hem_Aphid_Pemphigu_populitr	Hem_Aphid_Thecabiu_populico	Hem_Aphid_Thecabiu_populimo	Hem_Cerco_1_1	Hem_Cicad_Gypona_1	Hem_Cicad_1_2	Hem_Cicad_1_3	Hem_Cicad_1_4	Hem_Cicad_1_5	Hem_Cicad_1_6	Hem_Cicad_1_7	Hem_Cicad_1_8	Hem_Cicad_1_11	Hem_Cicad_1_12	Hem_Cicad_1_14	Hem_Cixii_1_1	Hem_Diasp_Lepidosa_ulmi	Hem_Membr_1_1	Hem_Mirid_1_2	Hem_Mirid_1_5	Hem_Penta_Brochyme_1	Hem_Penta_Euschist_1	Hem_Penta_Podisus_1	Hem_Rhopa_Leptocor_trivitta	Hem_Tingi_1_1	Hym_Andre_1_1	Hym_Braco_1_2	Hym_Braco_1_3	Hym_Encyr_1_1	Hym_Formi_Formica_1	Hym_Formi_Tetramor_caespitu	Hym_Tenth_Phylloco_1	Lep_Gelec_Anacamps_niveopul	Lep_Geome_1_1	Lep_Graci_Phyllocn_1	Lep_Lyone_Paraleuc_albella	Lep_Noctu_1_1	Lep_Tortr_Gypsonom_haimbach	Lep_1_1_1	Neu_Chrys_Argia_5	Neu_Raphi_1_1	Odo_Coena_1_1	Ort_Gryll_Oecanthu_1	Ort_Tetti_1_1	Thy_Thrip_1_1	Thy_1_1_2	Hem_Aphid_Pemphigu_betae
fo2_00	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	0	1	0	1	6	0	0	0	3	0	0	0	1	0	0	0
fo3_00	287	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	8	0	2	0	1	0	0	0	0	0	0	4
fo4_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0
fo5_00	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	3	0	0	6	1	0	0	0	0	0	3	0	15	3	5	2	0	9	0	1	4	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	15	0	1	0	9	0	0	0	0	0	1	0
fo6_00	25	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	0	0	2	0	0	3	3	1	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0	0	0	7	0	1	0	0	0	0	0
fo7_00	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	1	0	1	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	5	16	0	0	0	1	0	0	0	0	0	0	0
fo8_00	3	0	0	0	0	0	1	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	4	122	0	0	0	0	0	0	0	18	9	2	1	2	5	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	19	26	0	1	0	9	0	0	0	0	0	1	0
fo9_00	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	6	0	0	0	0	0	0	0	9	0	8	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	24	1	0	0	8	29	0	0	0	0	0	0	0	0	0	0	4
fo10_00	12	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	3	5	0	1	0	3	0	0	0	0	0	1	0
bc1_00	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	6	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13
bc2_00	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	4	0	0	0	1	0	0	9
bc3_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	11	1	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	5	0	1	0	2	0	0	0	1	0	0	4
bc4_00	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
bc5_00	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	10	0	0	0	1	0	2	49
bc6_00	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	0	12
bc7_00	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	7	1	0	2	0	0	0	2	0	0	0	0	0	0	1	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	9	1	2	0	0	0	0	0	0	0	0	20
bc8_00	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	5	0	0	0	1	0	0	1
bc9_00	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	10	1	0	3	0	5	0	0	0	0	0	1	85
bc10_00	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	4	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	74
na1_00	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	20	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	6	0	0	0	3	0	0	0	0	0	1	26
na2_00	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	20
na3_00	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	5	0	1	0	5	0	0	0	0	0	0	0
na4_00	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	21
na5_00	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	1	2	0	1	0	38	0	0	0	0	0	1	15
na6_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	6	0	0	0	1	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	5	0	0	0	0	0	2	23
na7_00	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	2	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	1	0	5	0	0	0	0	0	0	11
na8_00	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	2	1	2	0	2	0	0	2	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	13	0	0	0	0	0	1	0
na9_00	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	3	0	0	2	0	0	1	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	1	1	7	0	2	3	0	1	0	1	0	0	0	0	0	2	117
na10_00	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	5	0	0	0	0	0	1	18
fr1_01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	2	0	0	0	0	0	0	0	6	7	0	0	1	22	0	0	0	0	3	0	0	0	0	0	8	30	0	0	0	15	0	0	0	0	0	4	0
fr2_01	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	2	0	0	1	0	0	2	0	3	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	6	57	0	0	0	13	0	0	0	0	0	0	0
fr3_01	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	3	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	2	0	1	0	0	0	1	0
fr4_01	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	5	0	0	0	0	0	0	0
fr5_01	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	20	3	0	0	0	0	0	0	7	0	0	0	1	0	0	0	2	2	0	0	2	1	0	0	1	0	0	0	0	2	5	0	0	0	11	0	0	0	0	0	0	1	1	5	0	23	111	0	0	0	20	0	0	0	0	1	0	0
fr6_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	33	0	0	0	13	0	0	0	0	0	0	0
fr7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	5	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	50	0	0	0	1	0	0	0	0	0	0	0
fr8_01	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	0	1	0	1	0	0	0	0	0	0	0
fr9_01	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	3	75	0	1	0	13	0	0	0	0	0	1	0
fr10_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
fo1_01	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	4	0	0	0	0	0	0	5	2	0	0	0	9	0	0	0	0	2	0	0	2	0	0	0	30	0	1	0	7	0	0	0	0	0	0	0
fo2_01	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	7	0	0	0	0	0	0	0
fo3_01	1	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	32	0	0	0	10	0	0	0	0	1	2	0
fo4_01	133	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	7	0	0	0	0	0	1	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	1	32	0	3	0	7	0	0	0	0	0	0	2
fo5_01	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	9	2	0	2	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	8	1	5	0	9	72	0	1	0	8	0	0	0	0	1	1	2
fo6_01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	17	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	33	0	1	0	14	0	0	0	0	0	0	1
fo7_01	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	2	0	0	1	30	0	0	0	4	0	0	0	0	0	1	0
fo8_01	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	1	1	0	0	0	17	0	0	0	7	0	0	0	0	0	0	0
fo9_01	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	1	0	2	5	1	1	0	4	7	0	1	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	1	34	0	0	0	1	0	0	0	0	1	0	0
fo10_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	10	0	0	0	1	34	0	0	0	3	1	0	0	0	0	1	0
bc1_01	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	6	0	0	0	0	0	0	0	2	6	0	1	42	0	0	0	13	0	0	0	0	1	1	11
bc2_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	9	0	0	0	0	3	0	6
bc3_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	15	0	0	0	0	0	0	1
bc4_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	18	0	0	0	0	0	0	7
bc5_01	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	13	0	0	0	0	0	0	0	1	0	0	1	9	0	0	0	21	0	0	0	0	3	1	4
bc6_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	0	1	0	0	0	6	0	0	0	15	0	0	0	0	0	1	30
bc7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	5	0	1	0	0	0	1	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	4	0	0	1	17	0	0	0	0	0	0	0	4	0	0	2	3	0	2	0	11	0	0	0	0	0	1	0
