"","PD","SR"
"fr1_00",46,13
"fr2_00",50,16
"fr3_00",48,19
"fr4_00",55,20
"fr5_00",44,12
"fr6_00",55,17
"fr7_00",34,9
"fr8_00",55,16
"fr9_00",72,26
"fr10_00",54,17
"fo1_00",60,21
"fo2_00",59,20
"fo3_00",47,15
"fo4_00",32,9
"fo5_00",64,25
"fo6_00",59,21
"fo7_00",59,20
"fo8_00",64,24
"fo9_00",64,19
"fo10_00",66,23
"bc1_00",59,18
"bc2_00",52,17
"bc3_00",53,17
"bc4_00",28,5
"bc5_00",47,14
"bc6_00",53,17
"bc7_00",68,22
"bc8_00",53,16
"bc9_00",67,22
"bc10_00",44,12
"na1_00",53,17
"na2_00",45,14
"na3_00",38,11
"na4_00",48,11
"na5_00",53,18
"na6_00",41,14
"na7_00",42,14
"na8_00",42,16
"na9_00",79,28
"na10_00",57,18
"fr1_01",57,20
"fr2_01",69,22
"fr3_01",55,19
"fr4_01",38,10
"fr5_01",75,29
"fr6_01",33,10
"fr7_01",52,14
"fr8_01",38,12
"fr9_01",56,17
"fr10_01",30,6
"fo1_01",68,22
"fo2_01",44,12
"fo3_01",54,18
"fo4_01",57,22
"fo5_01",80,27
"fo6_01",45,16
"fo7_01",61,18
"fo8_01",53,17
"fo9_01",63,23
"fo10_01",53,17
"bc1_01",67,23
"bc2_01",41,9
"bc3_01",35,9
"bc4_01",39,11
"bc5_01",61,20
"bc6_01",58,18
"bc7_01",52,17
"bc8_01",45,13
"bc9_01",55,19
"bc10_01",34,9
"na1_01",34,8
"na2_01",44,12
"na3_01",42,13
"na4_01",49,13
"na5_01",66,20
"na6_01",35,8
"na7_01",49,12
"na8_01",38,9
"na9_01",48,13
"na10_01",48,16
"fr1_02",56,18
"fr2_02",60,18
"fr3_02",39,9
"fr4_02",29,6
"fr5_02",49,14
"fr6_02",50,14
"fr7_02",43,11
"fr8_02",31,7
"fr9_02",49,17
"fr10_02",29,6
"fo1_02",53,16
"fo2_02",49,16
"fo3_02",56,16
"fo4_02",55,15
"fo5_02",63,22
"fo6_02",60,19
"fo7_02",59,18
"fo8_02",53,16
"fo9_02",51,16
"fo10_02",65,20
"bc1_02",57,14
"bc2_02",59,19
"bc3_02",45,11
"bc4_02",33,7
"bc5_02",65,21
"bc6_02",55,17
"bc7_02",57,15
"bc8_02",49,14
"bc9_02",49,15
"bc10_02",45,12
"na1_02",50,15
"na2_02",52,14
"na3_02",41,11
"na4_02",41,11
"na5_02",50,15
"na6_02",58,19
"na7_02",58,15
"na8_02",52,15
"na9_02",46,12
"na10_02",51,12
"fr1_03",62,21
"fr2_03",74,27
"fr3_03",57,20
"fr4_03",72,26
"fr5_03",62,22
"fr6_03",69,25
"fr7_03",77,29
"fr8_03",75,27
"fr9_03",61,23
"fr10_03",42,13
"fo1_03",81,32
"fo2_03",76,27
"fo3_03",84,33
"fo4_03",68,24
"fo5_03",92,36
"fo6_03",77,29
"fo7_03",85,34
"fo8_03",69,23
"fo9_03",82,34
"fo10_03",66,23
"bc1_03",81,29
"bc2_03",75,30
"bc3_03",60,21
"bc4_03",58,18
"bc5_03",89,34
"bc6_03",92,36
"bc7_03",68,25
"bc8_03",70,23
"bc9_03",75,27
"bc10_03",52,15
"na1_03",83,33
"na2_03",79,32
"na3_03",73,26
"na4_03",71,26
"na5_03",73,27
"na6_03",62,21
"na7_03",79,31
"na8_03",84,32
"na9_03",73,26
"na10_03",75,28
