"","PD","SR"
"fr1_00",86,13
"fr2_00",99.5,16
"fr3_00",80.5,19
"fr4_00",104.5,20
"fr5_00",101.5,12
"fr6_00",90.5,17
"fr7_00",64.5,9
"fr8_00",103,16
"fr9_00",126.5,26
"fr10_00",104.5,17
"fo1_00",115,21
"fo2_00",109.5,20
"fo3_00",78.5,15
"fo4_00",62,9
"fo5_00",111.5,25
"fo6_00",113.5,21
"fo7_00",111.5,20
"fo8_00",121,24
"fo9_00",106.5,19
"fo10_00",120,23
"bc1_00",94.5,18
"bc2_00",97,17
"bc3_00",87,17
"bc4_00",47,5
"bc5_00",89,14
"bc6_00",79,17
"bc7_00",118,22
"bc8_00",107.5,16
"bc9_00",119,22
"bc10_00",73,12
"na1_00",88.5,17
"na2_00",67.5,14
"na3_00",71.5,11
"na4_00",77.5,11
"na5_00",115,18
"na6_00",77,14
"na7_00",65,14
"na8_00",79,16
"na9_00",140,28
"na10_00",97.5,18
"fr1_01",104.5,20
"fr2_01",123.5,22
"fr3_01",119,19
"fr4_01",76.5,10
"fr5_01",137,29
"fr6_01",67,10
"fr7_01",82.5,14
"fr8_01",63,12
"fr9_01",106,17
"fr10_01",47.5,6
"fo1_01",116,22
"fo2_01",82,12
"fo3_01",103.5,18
"fo4_01",103.5,22
"fo5_01",148.5,27
"fo6_01",89,16
"fo7_01",113.5,18
"fo8_01",100.5,17
"fo9_01",113,23
"fo10_01",91.5,17
"bc1_01",132,23
"bc2_01",73,9
"bc3_01",62,9
"bc4_01",65,11
"bc5_01",114,20
"bc6_01",100,18
"bc7_01",94,17
"bc8_01",89.5,13
"bc9_01",92.5,19
"bc10_01",69,9
"na1_01",58.5,8
"na2_01",72,12
"na3_01",84,13
"na4_01",93.5,13
"na5_01",113.5,20
"na6_01",66,8
"na7_01",81.5,12
"na8_01",71.5,9
"na9_01",75.5,13
"na10_01",72,16
"fr1_02",103,18
"fr2_02",115,18
"fr3_02",63,9
"fr4_02",45,6
"fr5_02",91.5,14
"fr6_02",88.5,14
"fr7_02",74,11
"fr8_02",61.5,7
"fr9_02",92.5,17
"fr10_02",56.5,6
"fo1_02",101,16
"fo2_02",87.5,16
"fo3_02",103.5,16
"fo4_02",108,15
"fo5_02",112,22
"fo6_02",104.5,19
"fo7_02",114,18
"fo8_02",89,16
"fo9_02",94.5,16
"fo10_02",119,20
"bc1_02",86.5,14
"bc2_02",105,19
"bc3_02",88.5,11
"bc4_02",46,7
"bc5_02",110.5,21
"bc6_02",105,17
"bc7_02",97.5,15
"bc8_02",100,14
"bc9_02",91.5,15
"bc10_02",96,12
"na1_02",85,15
"na2_02",94,14
"na3_02",84.5,11
"na4_02",75.5,11
"na5_02",103.5,15
"na6_02",109,19
"na7_02",108,15
"na8_02",102.5,15
"na9_02",86.5,12
"na10_02",89.5,12
"fr1_03",112.5,21
"fr2_03",124.5,27
"fr3_03",110,20
"fr4_03",134,26
"fr5_03",105,22
"fr6_03",117,25
"fr7_03",130.5,29
"fr8_03",127,27
"fr9_03",107.5,23
"fr10_03",76,13
"fo1_03",140.5,32
"fo2_03",127.5,27
"fo3_03",148,33
"fo4_03",114,24
"fo5_03",165.5,36
"fo6_03",136,29
"fo7_03",147,34
"fo8_03",133,23
"fo9_03",153.5,34
"fo10_03",112.5,23
"bc1_03",133,29
"bc2_03",129,30
"bc3_03",109.5,21
"bc4_03",106,18
"bc5_03",156,34
"bc6_03",162,36
"bc7_03",126.5,25
"bc8_03",111.5,23
"bc9_03",133,27
"bc10_03",93.5,15
"na1_03",139.5,33
"na2_03",143,32
"na3_03",132.5,26
"na4_03",124.5,26
"na5_03",127.5,27
"na6_03",98,21
"na7_03",134,31
"na8_03",153.5,32
"na9_03",125.5,26
"na10_03",130,28
