"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,20.9462264826466,20.8832714173755,20.4424533220494,20.5767263914007,19.9720495065676,20.5975108657121,20.4120653974511,20.6242661653724,20.6410777363747,20.266140538058,21.2203438613042
"fo2000",20.9462264826466,0,21.3557821007049,21.0729046804321,21.167563555817,20.5688092080269,21.2263280697273,21.0354817083802,21.3683453199258,21.3007958975599,21.1518778476712,21.7633402828595
"na2000",20.8832714173755,21.3557821007049,0,20.9888395903383,21.0679551466797,20.5357411063892,21.1664547788274,20.9578214781114,21.2843645804788,21.1974636225089,21.0658697107955,21.6206653837504
"fr2001",20.4424533220494,21.0729046804321,20.9888395903383,0,20.7029789074963,20.1187396190515,20.7548114084661,20.5542063890121,20.8318604830925,20.8127912157157,20.5948173204624,21.2999378231932
"fo2001",20.5767263914007,21.167563555817,21.0679551466797,20.7029789074963,0,20.2609268687455,20.8884047165731,20.6488175335076,20.9512233601933,20.9150450238737,20.7105708874796,21.3847587099845
"na2001",19.9720495065676,20.5688092080269,20.5357411063892,20.1187396190515,20.2609268687455,0,20.2341493370445,19.9700265437944,20.4026464456874,20.3464905521089,20.1202853589368,21.0666810258768
"fr2002",20.5975108657121,21.2263280697273,21.1664547788274,20.7548114084661,20.8884047165731,20.2341493370445,0,20.6824747601552,20.9748261415269,20.9479261889625,20.7597951812251,21.5240300173445
"fo2002",20.4120653974511,21.0354817083802,20.9578214781114,20.5542063890121,20.6488175335076,19.9700265437944,20.6824747601552,0,20.7733439201984,20.7348199490365,20.5188183795016,21.3218067436946
"na2002",20.6242661653724,21.3683453199258,21.2843645804788,20.8318604830925,20.9512233601933,20.4026464456874,20.9748261415269,20.7733439201984,0,21.0444886927699,20.766202187839,21.5296727438978
"fr2003",20.6410777363747,21.3007958975599,21.1974636225089,20.8127912157157,20.9150450238737,20.3464905521089,20.9479261889625,20.7348199490365,21.0444886927699,0,20.718543348266,21.4858143141909
"fo2003",20.266140538058,21.1518778476712,21.0658697107955,20.5948173204624,20.7105708874796,20.1202853589368,20.7597951812251,20.5188183795016,20.766202187839,20.718543348266,0,21.3271904745426
"na2003",21.2203438613042,21.7633402828595,21.6206653837504,21.2999378231932,21.3847587099845,21.0666810258768,21.5240300173445,21.3218067436946,21.5296727438978,21.4858143141909,21.3271904745426,0
