"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,8.58131450873637,10.0113190490255,6.92233611766366,7.72180500063981,9.16366736868811,7.56273050211688,8.09020820705102,11.0950782715893,8.9292200182038,9.07548497098098,9.5441833463639
"fo2000",8.58131450873637,0,9.74735073355772,8.78856742387048,8.38078359388916,9.2838429417406,9.04506117069,7.79278038674078,10.5669864615895,8.9850571345264,7.92669563638209,9.03666310009629
"na2000",10.0113190490255,9.74735073355772,0,10.4858419821363,10.3218865266626,8.80817137168911,10.3899146167369,10.5180967077943,6.87659497559018,9.47507111562099,9.99938718589751,8.13375286025134
"fr2001",6.92233611766366,8.78856742387048,10.4858419821363,0,7.54321952329657,9.34039890041071,7.27762366870251,7.96986680900968,11.6343072984195,9.30249152586139,9.38852808062478,10.121269130627
"fo2001",7.72180500063981,8.38078359388916,10.3218865266626,7.54321952329657,0,9.40753273508484,8.15835304791679,7.74281232716717,11.3579443554509,9.33802800034266,8.66059854475485,9.82367799989961
"na2001",9.16366736868811,9.2838429417406,8.80817137168911,9.34039890041071,9.40753273508484,0,9.4934576346181,9.64709577956224,8.84224939663002,9.25086926829125,9.53686061983664,8.74123384783337
"fr2002",7.56273050211688,9.04506117069,10.3899146167369,7.27762366870251,8.15835304791679,9.4934576346181,0,8.47760150891886,11.3074044549085,9.14098395461488,9.53017039753336,9.83721737411961
"fo2002",8.09020820705102,7.79278038674078,10.5180967077943,7.96986680900968,7.74281232716717,9.64709577956224,8.47760150891886,0,11.5545268925526,9.46331825242658,7.72004109463878,9.89139175568189
"na2002",11.0950782715893,10.5669864615895,6.87659497559018,11.6343072984195,11.3579443554509,8.84224939663002,11.3074044549085,11.5545268925526,0,10.1112130861038,10.8466255167276,7.93509680518633
"fr2003",8.9292200182038,8.9850571345264,9.47507111562099,9.30249152586139,9.33802800034266,9.25086926829125,9.14098395461488,9.46331825242658,10.1112130861038,0,9.09393040459872,8.60467001744526
"fo2003",9.07548497098098,7.92669563638209,9.99938718589751,9.38852808062478,8.66059854475485,9.53686061983664,9.53017039753336,7.72004109463878,10.8466255167276,9.09393040459872,0,9.14140432349037
"na2003",9.5441833463639,9.03666310009629,8.13375286025134,10.121269130627,9.82367799989961,8.74123384783337,9.83721737411961,9.89139175568189,7.93509680518633,8.60467001744526,9.14140432349037,0
