"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,11.3440993558659,11.3911467931275,11.3984619945931,11.3185947994916,11.0681515597681,11.0759917381894,11.1508680457426,11.1685648306174,11.4303170805454,11.2766288395967,11.6955234825755
"fo2000",11.3440993558659,0,11.5193584902424,11.6165944897831,11.478304565366,11.231908766749,11.2664180605945,11.3318130333983,11.4193655045548,11.6442600553936,11.5869253961033,11.9041622523902
"na2000",11.3911467931275,11.5193584902424,0,11.6557657892957,11.5362688297828,11.3090786899642,11.3302672149942,11.395256420225,11.4699052153503,11.689347745398,11.6364178630687,11.9165697652198
"fr2001",11.3984619945931,11.6165944897831,11.6557657892957,0,11.5843791345789,11.3242289857003,11.3600921837537,11.4220361291869,11.4680574286191,11.7277046570155,11.6333877040317,11.9492716607443
"fo2001",11.3185947994916,11.478304565366,11.5362688297828,11.5843791345789,0,11.2345753149944,11.2473236682104,11.3060149145206,11.3701303727576,11.6160368922229,11.5304715389391,11.8669061627133
"na2001",11.0681515597681,11.231908766749,11.3090786899642,11.3242289857003,11.2345753149944,0,10.9796585041537,11.0027891623658,11.1429174830537,11.3791293460811,11.2933207372556,11.7288773111047
"fr2002",11.0759917381894,11.2664180605945,11.3302672149942,11.3600921837537,11.2473236682104,10.9796585041537,0,11.0671125012031,11.1229859511118,11.3700778615163,11.2999348316446,11.6744672462125
"fo2002",11.1508680457426,11.3318130333983,11.395256420225,11.4220361291869,11.3060149145206,11.0027891623658,11.0671125012031,0,11.1992884892999,11.4486402825578,11.3564115113603,11.7388198275602
"na2002",11.1685648306174,11.4193655045548,11.4699052153503,11.4680574286191,11.3701303727576,11.1429174830537,11.1229859511118,11.1992884892999,0,11.5074277742207,11.3881250586974,11.7385629108332
"fr2003",11.4303170805454,11.6442600553936,11.689347745398,11.7277046570155,11.6160368922229,11.3791293460811,11.3700778615163,11.4486402825578,11.5074277742207,0,11.600932626902,11.9865328616263
"fo2003",11.2766288395967,11.5869253961033,11.6364178630687,11.6333877040317,11.5304715389391,11.2933207372556,11.2999348316446,11.3564115113603,11.3881250586974,11.600932626902,0,11.8971650622547
"na2003",11.6955234825755,11.9041622523902,11.9165697652198,11.9492716607443,11.8669061627133,11.7288773111047,11.6744672462125,11.7388198275602,11.7385629108332,11.9865328616263,11.8971650622547,0
