Ord_Famil_Genus_Species,Order,Family,Genus,Species
Hem_Aphid_Chaitoph_popullel,Hemiptera,Aphididae,Chaitophorus,popullellus
Hem_Aphid_Pemphigu_betae,Hemiptera,Aphididae,Pemphigus,betae
Hem_Aphid_Pemphigu_populica,Hemiptera,Aphididae,Pemphigus,populicaulis
Hem_Aphid_Pemphigu_populigl,Hemiptera,Aphididae,Pemphigus,populiglobuli
Hem_Aphid_Pemphigu_populitr,Hemiptera,Aphididae,Pemphigus,populitransversus
Hem_Aphid_Thecabiu_populico,Hemiptera,Aphididae,Thecabius,populicondupifolius
Hem_Aphid_Thecabiu_populimo,Hemiptera,Aphididae,Thecabius,populimonilis
Hem_Cerco_1_1,Hemiptera,Cercopidae,,1
Hem_Cerco_1_2,Hemiptera,Cercopidae,,2
Hem_Cicad_Gypona_1,Hemiptera,Cicadellidae,Gypona,1
Hem_Cicad_1_2,Hemiptera,Cicadellidae,,2
Hem_Cicad_1_3,Hemiptera,Cicadellidae,,3
Hem_Cicad_1_4,Hemiptera,Cicadellidae,,4
Hem_Cicad_1_5,Hemiptera,Cicadellidae,,5
Hem_Cicad_1_6,Hemiptera,Cicadellidae,,6
Hem_Cicad_1_7,Hemiptera,Cicadellidae,,7
Hem_Cicad_1_8,Hemiptera,Cicadellidae,,8
Hem_Cicad_1_10,Hemiptera,Cicadellidae,,10
Hem_Cicad_1_11,Hemiptera,Cicadellidae,,11
Hem_Cicad_1_12,Hemiptera,Cicadellidae,,12
Hem_Cicad_1_13,Hemiptera,Cicadellidae,,13
Hem_Cicad_1_14,Hemiptera,Cicadellidae,,14
Hem_Cixii_1_1,Hemiptera,Cixiidae,,1
Hem_Diasp_Lepidosa_ulmi,Hemiptera,Diaspididae,Lepidosaphes,ulmi
Hem_Lygae_1_2,Hemiptera,Lygaeidae,,2
Hem_Membr_1_1,Hemiptera,Membracidae,,1
Hem_Membr_1_2,Hemiptera,Membracidae,,2
Hem_Mirid_Ceratoca_1,Hemiptera,Miridae,Ceratocapsus,1
Hem_Mirid_1_1,Hemiptera,Miridae,,1
Hem_Mirid_1_2,Hemiptera,Miridae,,2
Hem_Mirid_1_3,Hemiptera,Miridae,,3
Hem_Mirid_1_4,Hemiptera,Miridae,,4
Hem_Mirid_1_5,Hemiptera,Miridae,,5
Hem_Mirid_1_6,Hemiptera,Miridae,,6
Hem_Mirid_1_7,Hemiptera,Miridae,,7
Hem_Nabid_1_1,Hemiptera,Nabidae,,1
Hem_Penta_Apatetic_1,Hemiptera,Pentatomidae,Apateticus,1
Hem_Penta_Brochyme_1,Hemiptera,Pentatomidae,Brochymena,1
Hem_Penta_Euschist_1,Hemiptera,Pentatomidae,Euschistus,1
Hem_Penta_Podisus_1,Hemiptera,Pentatomidae,Podisus,1
Hem_Penta_Thyanta_1,Hemiptera,Pentatomidae,Thyanta,1
Hem_Reduv_Phymata_1,Hemiptera,Reduviidae,Phymata,1
Hem_Reduv_Zelus_1,Hemiptera,Reduviidae,Zelus,1
Hem_Reduv_1_1,Hemiptera,Reduviidae,,1
Hem_Rhopa_Leptocor_trivitta,Hemiptera,Rhopalidae,Leptocoris ,trivittatus
Hem_Scute_1_1,Hemiptera,Scutelleridae,,1
Hem_Tingi_1_1,Hemiptera,Tingidae,,1
Hym_Andre_1_1,Hymenoptera,Andrenidae,,1
Hym_Apida_1_1,Hymenoptera,Apidae,,1
Hym_Braco_1_2,Hymenoptera,Braconidae,,2
Hym_Braco_1_3,Hymenoptera,Braconidae,,3
Hym_Braco_1_4,Hymenoptera,Braconidae,,4
Hym_Braco_1_5,Hymenoptera,Braconidae,,5
Hym_Chalc_1_1,Hymenoptera,Chalcidae,,1
Hym_Dryin_1_1,Hymenoptera,Dryinidae,,1
Hym_Encyr_1_1,Hymenoptera,Encyrtidae,,1
Hym_Eulop_1_1,Hymenoptera,Eulophidae,,1
Hym_Eupel_1_2,Hymenoptera,Eupelmidae,,2
Hym_Euryt_1_1,Hymenoptera,Eurytomidae,,1
