,ntaxa,pd.obs,pd.rand.mean,pd.rand.sd,pd.obs.rank,pd.obs.z,pd.obs.p,runs
fr6_02,14,74,73.88288288,6.961049469,527.5,0.016824635,0.5275,999
fr7_02,11,66,64.36136136,6.607561448,612,0.247994461,0.612,999
fr8_02,7,57,48.97497497,6.764457861,890,1.186351544,0.89,999
fr9_02,17,78,82.88188188,7.471526583,275,-0.653398181,0.275,999
fr10_02,6,51,43.98098098,6.678311038,874,1.051017088,0.874,999
fo1_02,16,80,79.93493493,6.971511652,520.5,0.009332992,0.5205,999
fo2_02,16,81,80.28028028,7.142236667,560,0.100769514,0.56,999
fo3_02,16,88,80.1951952,7.150608319,859.5,1.091488228,0.8595,999
fo4_02,15,87,77.16316316,6.979098799,921,1.409470925,0.921,999
fo5_02,22,92,96.20520521,7.778556731,311,-0.540615097,0.311,999
fo6_02,19,84,88.34234234,7.597787287,304,-0.571527233,0.304,999
fo7_02,18,92,85.41441441,7.296087872,820,0.902618732,0.82,999
fo8_02,16,74,79.95495495,7.150891096,210,-0.832757047,0.21,999
fo9_02,16,77,79.85285285,6.948664422,364.5,-0.410561322,0.3645,999
fo10_02,20,96,91.13013013,7.592784986,740.5,0.641381243,0.7405,999
bc1_02,14,70,73.98898899,6.933760375,283,-0.575299516,0.283,999
bc2_02,19,85,88.41241241,7.305396891,331,-0.467108422,0.331,999
bc3_02,11,72,64.32832833,6.416435896,881,1.195628195,0.881,999
bc4_02,7,44,48.7017017,6.784332055,234,-0.693023523,0.234,999
bc5_02,21,91,93.62562563,7.752172362,396.5,-0.338695465,0.3965,999
bc6_02,17,84,82.77177177,7.237176065,595.5,0.169710978,0.5955,999
bc7_02,15,81,76.95895896,7.096198234,732,0.569465636,0.732,999
bc8_02,14,81,74.05405405,6.83626727,849.5,1.01604365,0.8495,999
bc9_02,15,77,76.95895896,7.129865868,529.5,0.005756215,0.5295,999
bc10_02,12,78,67.77177177,6.519122785,944,1.568957752,0.944,999
na1_02,15,67,76.92892893,7.016867307,60.5,-1.415008792,0.0605,999
na2_02,14,78,74.13613614,6.742879083,718.5,0.573028793,0.7185,999
na3_02,11,71,64.31331331,6.782103419,841.5,0.9859311,0.8415,999
na4_02,11,59,64.08608609,6.568324167,199.5,-0.774335425,0.1995,999
na5_02,15,85,77.07207207,7.170889353,867,1.105571086,0.867,999
na6_02,19,92,88.73473473,7.328172277,699.5,0.445577034,0.6995,999
na7_02,15,90,76.66666667,6.904879051,963,1.931001721,0.963,999
na8_02,15,86,77.1951952,7.103792274,884,1.239451333,0.884,999
na9_02,12,73,67.71571572,6.669650045,797.5,0.792288088,0.7975,999
na10_02,12,74,67.77377377,6.745656427,827,0.922997827,0.827,999
fr1_03,21,95,93.79279279,7.75566947,578,0.155654803,0.578,999
fr2_03,27,106,108.8948949,8.127488918,390.5,-0.356185647,0.3905,999
fr3_03,20,96,90.75175175,7.391325851,768,0.71005505,0.768,999
fr4_03,26,109,106.5605606,7.834976695,616.5,0.311352482,0.6165,999
fr5_03,22,86,96.2992993,7.614556616,77,-1.352580304,0.077,999
fr6_03,25,97,103.6736737,7.778987267,209.5,-0.857910348,0.2095,999
fr7_03,29,111,113.2352352,8.522146072,422.5,-0.262285487,0.4225,999
fr8_03,27,106,108.8318318,8.210393954,393.5,-0.344908155,0.3935,999
fr9_03,23,91,98.95495495,8.048013047,160,-0.988437135,0.16,999
fr10_03,13,70,70.83683684,6.737149454,469,-0.124212301,0.469,999
fo1_03,32,118,120.8828829,8.3549331,381.5,-0.345051582,0.3815,999
fo2_03,27,108,108.9209209,7.564734176,456.5,-0.121738702,0.4565,999
fo3_03,33,123,123.0590591,8.607187861,501,-0.006861598,0.501,999
fo4_03,24,98,101.8388388,7.937572877,334.5,-0.483628799,0.3345,999
fo5_03,36,139,129.8458458,8.55749506,853,1.069723569,0.853,999
fo6_03,29,115,113.7477477,8.157666792,574,0.153506178,0.574,999
fo7_03,34,121,125.2272272,8.478395237,316,-0.49858813,0.316,999
fo8_03,23,111,98.95695696,7.789898214,934,1.54598208,0.934,999
fo9_03,34,129,125.1731732,8.379467285,670.5,0.456690944,0.6705,999
fo10_03,23,103,99.17917918,7.7166067,695,0.495142615,0.695,999
bc1_03,29,109,113.6366366,8.20437216,312,-0.565142164,0.312,999
bc2_03,30,109,115.8498498,8.463494488,220,-0.809340617,0.22,999
bc3_03,21,98,93.95695696,7.452800656,708.5,0.542486406,0.7085,999
bc4_03,18,86,85.90590591,7.163224045,516,0.013135718,0.516,999
bc5_03,34,131,125.1181181,8.601746459,755.5,0.68380089,0.7555,999
bc6_03,36,138,129.4654655,8.597347692,839.5,0.992693891,0.8395,999
bc7_03,25,109,103.6976977,8.050734958,743,0.658610963,0.743,999
bc8_03,23,94,98.83383383,7.752200309,268,-0.623543464,0.268,999
bc9_03,27,109,109.0910911,8.261186665,489.5,-0.011026393,0.4895,999
bc10_03,15,79,76.996997,7.228380868,634.5,0.277102582,0.6345,999
na1_03,33,118,123.033033,8.505916243,277.5,-0.591709686,0.2775,999
na2_03,32,125,120.5705706,8.383755094,706.5,0.528334783,0.7065,999
na3_03,26,110,106.3943944,8.043257835,691,0.448276765,0.691,999
na4_03,26,101,106.4194194,7.980892968,269.5,-0.679049254,0.2695,999
na5_03,27,107,108.8658659,8.021141031,426.5,-0.232618509,0.4265,999
na6_03,21,82,93.65365365,7.573696979,61.5,-1.538700807,0.0615,999
na7_03,31,111,118.1331331,8.362604834,195.5,-0.852979816,0.1955,999
na8_03,32,127,120.7827828,8.501435919,777.5,0.731313778,0.7775,999
na9_03,26,105,106.6076076,8.035129669,432,-0.200072391,0.432,999
na10_03,28,110,111.5895896,8.155658235,427.5,-0.194906351,0.4275,999
