"","obs.corr","obs.corr.p","obs.rank","runs","obs.rand.p","random.corrs"
"1",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00570410510998855
"2",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0041520170590234
"3",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00325339448018237
"4",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00528598010248297
"5",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0156982801744854
"6",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0089495205898835
"7",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00203404965304133
"8",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00475169597893158
"9",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0215666415114228
"10",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.000370295987294404
"11",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0285860460994803
"12",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0179826449738719
"13",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0165738952381630
"14",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00551565153585731
"15",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00575213425478549
"16",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00509845151080565
"17",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00819220207399511
"18",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0152906489574203
"19",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.000588598799985115
"20",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00527840163221747
"21",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00186592464355637
"22",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0115564258237948
"23",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0164727472892667
"24",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00240748859420063
"25",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00964736327173298
"26",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00308932572216306
"27",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00723559693869604
