"","obs.corr","obs.corr.p","obs.rank","runs","obs.rand.p","random.corrs"
"1",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0521146438723909
"2",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.044257842930196
"3",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0520087522961067
"4",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0446895960606642
"5",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0508767987778294
"6",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0550796663840707
"7",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0490023398299895
"8",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0495375082186554
"9",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0512002719273729
"10",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0543253056731199
"11",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0551155660919562
"12",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0551577490549789
"13",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0524788841613948
"14",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.053229299010797
"15",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0462893605825381
"16",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.053096061758117
"17",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0604059520996347
"18",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0589073716592187
"19",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0615895474596839
"20",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0580669526290843
"21",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0604213600270693
"22",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0590803217294891
"23",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0520652701731147
"24",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0511592703953671
"25",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.043693358045889
"26",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0524825784847584
"27",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0479685549349195
"28",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0434935160893287
"29",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0496634500181562
"30",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0508422359980674
"31",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0481403659316423
"32",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0581110646089825
"33",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0516007260338569
"34",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0377014125334563
"35",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0520614629280813
"36",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0451525779594783
"37",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.06308945438169
"38",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0422235311552285
"39",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0491112410254431
"40",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0494623017259002
"41",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0521801613280402
"42",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0548047671517938
"43",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0527272639280341
"44",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0530324344079652
"45",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0535416964771106
"46",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0481701799561142
