"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,18.9592191151339,18.9674459593216,18.8441510405267,18.8847112729186,18.3578186458881,18.8029221971775,18.680978792937,18.8716646697406,18.8585534636692,18.8249449964488,19.4841019381609
"fo2000",18.9592191151339,0,19.029960189967,19.0404569256172,19.0054706272209,18.5274028244847,18.9783690692014,18.843682902493,19.1191877908017,19.0445245870922,19.148766715946,19.6180487725479
"na2000",18.9674459593216,19.029960189967,0,19.0169489409824,18.990241566504,18.5427771533836,18.9855663537317,18.8385285789811,19.1121323329324,19.0204307534994,19.1515291170555,19.5538535122383
"fr2001",18.8441510405267,19.0404569256172,19.0169489409824,0,18.937015632156,18.4295034484552,18.8866568662109,18.7428126410452,18.9723250394919,18.9568521861635,19.0237819939031,19.4993364806171
"fo2001",18.8847112729186,19.0054706272209,18.990241566504,18.937015632156,0,18.4586561017314,18.8950838417786,18.7230439510409,18.9841345575364,18.9406316595642,19.0197311657869,19.5071069015109
"na2001",18.3578186458881,18.5274028244847,18.5427771533836,18.4295034484552,18.4586561017314,0,18.3670569156812,18.1529235076518,18.5132282267566,18.4829578676038,18.5247168873656,19.2124759542204
"fr2002",18.8029221971775,18.9783690692014,18.9855663537317,18.8866568662109,18.8950838417786,18.3670569156812,0,18.667046893921,18.9033717341276,18.8730818526914,18.9681428161198,19.5283739336722
"fo2002",18.680978792937,18.843682902493,18.8385285789811,18.7428126410452,18.7230439510409,18.1529235076518,18.667046893921,0,18.7659450939467,18.7399214315208,18.8030229222307,19.3762022046743
"na2002",18.8716646697406,19.1191877908017,19.1121323329324,18.9723250394919,18.9841345575364,18.5132282267566,18.9033717341276,18.7659450939467,0,18.9979024610368,19.026056618953,19.5531358601272
"fr2003",18.8585534636692,19.0445245870922,19.0204307534994,18.9568521861635,18.9406316595642,18.4829578676038,18.8730818526914,18.7399214315208,18.9979024610368,0,18.9316659074827,19.4997489958862
"fo2003",18.8249449964488,19.148766715946,19.1515291170555,19.0237819939031,19.0197311657869,18.5247168873656,18.9681428161198,18.8030229222307,19.026056618953,18.9316659074827,0,19.6051145013162
"na2003",19.4841019381609,19.6180487725479,19.5538535122383,19.4993364806171,19.5071069015109,19.2124759542204,19.5283739336722,19.3762022046743,19.5531358601272,19.4997489958862,19.6051145013162,0
