,order,name,genotype,NRI,HI
116,128,fr8_03,TP-5,-1.263509499,0.999
120,129,fr9_03,H-14,-2.088480561,0.9637
88,130,fr10_03,H-17,-1.086254808,0.998
44,131,fo1_03,HM-1,-0.330249436,0.5079
52,132,fo2_03,WSU-6,-0.40375127,0.527
56,133,fo3_03,MH-2,-0.528864003,0.439
60,134,fo4_03,984,2.480472184,0.5073
64,135,fo5_03,1976,-2.055716747,0.4678
68,136,fo6_03,1997,-0.365658852,0.475
72,137,fo7_03,1935,-2.23339074,0.4384
76,138,fo8_03,989,-0.518121728,0.528
80,139,fo9_03,1981,-0.574727063,0.4806
48,140,fo10_03,1994,-0.176737882,0.4814
4,141,bc1_03,H-10,-0.466925716,0.066
12,142,bc2_03,13,-1.767645432,0.0271
16,143,bc3_03,3200,-1.316889768,0.001
20,144,bc4_03,NUN,-1.265119792,0.0031
24,145,bc5_03,10,-1.433054046,0.0149
28,146,bc6_03,RL-6,-1.016455038,0.001
32,147,bc7_03,HE-1,-1.662025941,0.001
36,148,bc8_03,1005,-1.613763866,0.001
40,149,bc9_03,HE-2,-1.240977417,0.001
8,150,bc10_03,T-48,1.775639206,0.001
124,151,na1_03,HE-8,-2.367067819,0.001
132,152,na2_03,HE-10,-1.93217571,0.001
136,153,na3_03,WC-5,-1.189209668,0.001
140,154,na4_03,T-21,-0.663234212,0.001
144,155,na5_03,1019,-1.15601221,0.001
148,156,na6_03,XSU-1,-1.299301427,0.001
152,157,na7_03,1000,-1.605278142,0.001
156,158,na8_03,1020,-0.951336169,0.001
160,159,na9_03,RM-2,-2.865422425,0.001
128,160,na10_03,T-15,-1.294269295,0.001
