"","PD","SR"
"fr2000",129.67459333498,66
"fo2000",118.08550898328,62
"na2000",125.97997546254,66
"fr2001",113.91309412841,56
"fo2001",109.14623163806,56
"na2001",111.14053245403,52
"fr2002",91.06052075851,40
"fo2002",103.47590930448,46
"na2002",107.03358410073,49
"fr2003",140.99960718735,75
"fo2003",153.52790572691,85
"na2003",175.12076918127,108
