,ph.names,nri.ph.mw,
1,frfo00,0.081983666,*
2,nafo00,0.146510515,-
3,frfo01,0.578741692,
4,nafo01,0.061489549,*
5,frfo02,0.123005477,-
6,nafo02,0.00319226,**
7,frfo03,0.140166572,-
8,nafo03,0.006169143,**
