,comm.labels,nri.u.w,
1,fr00,0.001953125,*
2,fo00,0.375,
3,na00,1.91E-06,*
4,fr01,0.001953125,*
5,fo01,0.375,
6,na01,9.56E-05,*
7,fr02,0.02734375,*
8,fo02,0.553616992,
9,na02,5.72E-06,*
10,fr03,0.005857099,*
11,fo03,0.048828125,*
12,na03,3.81E-06,*
