"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr",124,12.0489999282452,12.4078259518991,0.217868782208025,53,-1.64698227996342,0.053,999
"fo",132,12.1612697227273,12.4011452609811,0.188038149202959,114,-1.27567485252604,0.114,999
"na",145,12.3006886877434,12.3950210703532,0.171078592734443,282,-0.551397934142648,0.282,999
