"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,19.6632425399,20.6375307056213,0.539908297748233,44,-1.80454378972272,0.044,999
"fo2000",62,20.0262269354063,20.6422921640954,0.569210653854214,142,-1.08231499975909,0.142,999
"na2000",66,20.212933997514,20.6755100783951,0.541553594984271,190,-0.854164915837151,0.19,999
"fr2001",56,20.1031057245618,20.6868598515942,0.573611238457707,149,-1.01768251368642,0.149,999
"fo2001",56,20.3364228562901,20.6564137231556,0.603567106268317,275,-0.530166179605003,0.275,999
"na2001",52,18.2806823972074,20.6411409101933,0.660602230938508,4,-3.57319185803003,0.004,999
"fr2002",40,20.2115492809947,20.6447417869354,0.750638622176353,254,-0.577098610626728,0.254,999
"fo2002",46,19.5910325452686,20.6634882383336,0.701070855086134,72,-1.52973937696106,0.072,999
"na2002",49,20.5149180947338,20.6752844927018,0.68969892485239,371,-0.232516525964311,0.371,999
"fr2003",75,19.8749229178549,20.6566766954837,0.491174000327997,59,-1.59160252193078,0.059,999
"fo2003",85,19.3460672666832,20.6040721697875,0.455842952816195,9,-2.75973313908291,0.009,999
"na2003",108,20.6708202709792,20.6936753582911,0.340838294022977,440,-0.0670555149251938,0.44,999
