"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,11.169842774791,12.2815294823682,0.32431353587053,2,-3.42781470589311,0.002,999
"fo2000",62,11.6234377703225,12.2802225543229,0.334593035794156,23,-1.96293620529647,0.023,999
"na2000",66,11.7272034014441,12.27300475051,0.327730169768919,50,-1.66539854860101,0.05,999
"fr2001",56,11.853551444102,12.2748331273898,0.375474415082253,133,-1.12199837423154,0.133,999
"fo2001",56,11.6351618920767,12.274379699459,0.391203187153354,60,-1.63397903793586,0.06,999
"na2001",52,11.0148999549678,12.2793398228877,0.389680686395234,2,-3.24481020503391,0.002,999
"fr2002",40,11.2236397018778,12.2934426246295,0.466239704504065,16,-2.29453414717136,0.016,999
"fo2002",46,11.3395619936384,12.2762284927491,0.423745786620182,24,-2.21044439540406,0.024,999
"na2002",49,11.4377484412972,12.3019199804335,0.404042450305706,22,-2.13881372732623,0.022,999
"fr2003",75,11.8510162749562,12.2845524969271,0.291193459738182,82,-1.48882540961141,0.082,999
"fo2003",85,11.5308993908718,12.2842746143883,0.26631341754726,4,-2.82890449326605,0.004,999
"na2003",108,12.1807262949408,12.3011313637993,0.203091682994778,275,-0.59286065821567,0.275,999
