"","2.5 %","97.5 %"
".sig01",0,5.48
".sig02",22.56,199.08
".sigma",5.81,10.54
"(Intercept)",-41.64,188.43
"crosstypefr",0.19,15.79
"crosstypena",-2.62,13.12
"SR",1.36,1.72
