"","2.5 %","97.5 %"
".sig01",0,3.57
".sig02",1.62,14.95
".sigma",1.34,2.56
"(Intercept)",5.16,22.52
"crosstypefr",-5.18,-1.48
"crosstypena",-5.23,-1.53
