"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",79.1038084617808,16.0258398343418,309,4.93601641345928,1.30643517615171e-06
"SR",19.8919014309143,0.609301941690771,309,32.6470343680764,3.55350249477582e-102
"crosstypefr",-0.680900679851722,1.25965626502454,309,-0.540544828583423,0.589210762251171
"crosstypena",0.185958416365567,1.08597606309202,309,0.171236201869958,0.864150121075569
