"","2.5 %","97.5 %"
".sig01",0.4,0.69
".sig02",0.27,1.24
".sig03",0,0.73
".sigma",0.73,0.87
"(Intercept)",-2,-0.55
"crosstypefr",-1.03,0
"crosstypena",-0.48,0.41
