"","2.5 %","97.5 %"
".sig01",1.19,2.07
".sig02",0.8,4.19
".sig03",1.39,12.42
".sigma",1.86,2.21
"(Intercept)",3.79,18.32
"crosstypefr",-3.33,-0.34
"crosstypena",-2.22,0.37
