"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"SC51_2004" 2 8 5.2952952952953 2.12813199295692 865 1.27092901833907 0.865 999
"SC3_2004" 2 2 5.36336336336336 2.09854876353278 87.5 -1.60270917779454 0.0875 999
"D10_2004" 1 NA NA NA NA NA NA 999
"D13_2004" 2 8 5.2952952952953 2.12813199295692 865 1.27092901833907 0.865 999
"D19_2004" 3 4 4.1368034701368 1.03144351354579 438 -0.132633021915582 0.438 999
"D20_2004" 2 4 5.36336336336336 2.13076968675996 301.5 -0.639845484866311 0.3015 999
"D31_2004" 3 4 4.1368034701368 1.03144351354579 438 -0.132633021915582 0.438 999
"D34_2004" 4 3.5 3.54104104104104 0.726203870438734 468.5 -0.0565144895416851 0.4685 999
"D45_2004" 3 4 4.21955288621955 0.999365340944322 406.5 -0.219692315937325 0.4065 999
"D46_2004" 1 NA NA NA NA NA NA 999
"D47_2004" 3 2 4.20820820820821 1.01174544192702 19.5 -2.18257292467001 0.0195 999
"D48_2004" 4 3.5 3.54054054054054 0.719126131421947 470.5 -0.0563747286729498 0.4705 999
"D51_2004" 4 3.5 3.54504504504505 0.758038401011313 454.5 -0.0594231703630708 0.4545 999
"D53_2004" 4 3.5 3.52752752752753 0.704617601911021 477.5 -0.0390673287934747 0.4775 999
"D65_2004" 3 6 4.24357691024358 1.01987412866361 940.5 1.72219594594280 0.9405 999
"D66_2004" 2 4 5.28728728728729 2.10651926061435 308 -0.611096851263473 0.308 999
