S,R
0.3683,0.1051
0.668,-0.9463
-0.5008,0.3523
1.7092,0.6413
1.722,-0.0027
nan,nan
1.7131,-0.5641
2.7622,1.7048
-0.945,-0.9484
1.4633,-0.948
1.7243,-0.9435
2.8008,1.7047
0.8716,1.714
0.6405,1.7068
